program_id,asset_name,company_name,cff_strategy,cff_stage,cff_listed_status,activity_status,disease_area,strategy,need_ids,role,map_eligible,whitespace_relevant,crowding_unit,nct_ids,normalized_stage,review_status,review_notes,source_id
cff-alyftrek,Alyftrek (vanzacaftor/tezacaftor/deutivacaftor),Vertex Pharmaceuticals,cftr_modulator,approved,to_patients,approved,cf,cftr_modulator,N2,label_expansion,1,0,1,NCT05422222;NCT05444257;NCT05844449,approved,reviewed,US-approved VTD. Pediatric/LTE trials are label expansion not whitespace.,cff_pipeline_web
cff-trikafta,Trikafta (elexacaftor/tezacaftor/ivacaftor),Vertex Pharmaceuticals,cftr_modulator,approved,to_patients,approved,cf,cftr_modulator,N2,label_expansion,1,0,1,NCT05331183;NCT06460506;NCT04602468;NCT07809867,approved,reviewed,US-approved ETI. Remaining trials are pediatric OLE or real-world/PK.,cff_pipeline_web
cff-symdeko,Symdeko (tezacaftor/ivacaftor),Vertex Pharmaceuticals,cftr_modulator,approved,to_patients,approved,cf,cftr_modulator,N2,label_expansion,1,0,0,,approved,reviewed,Approved earlier-generation modulator. Crowding counted on Trikafta/Alyftrek as the current HEMT franchise.,cff_pipeline_web
cff-orkambi,Orkambi (lumacaftor/ivacaftor),Vertex Pharmaceuticals,cftr_modulator,approved,to_patients,approved,cf,cftr_modulator,N2,label_expansion,1,0,0,,approved,reviewed,Approved earlier-generation modulator. Crowding_unit 0 to avoid five-count of one Vertex franchise.,cff_pipeline_web
cff-kalydeco,Kalydeco (ivacaftor),Vertex Pharmaceuticals,cftr_modulator,approved,to_patients,approved,cf,cftr_modulator,N2,label_expansion,1,0,0,,approved,reviewed,Approved potentiator. Crowding_unit 0; still map-visible as approved.,cff_pipeline_web
cff-4d-710,4D-710,4D Molecular Therapeutics,gene_therapy,phase_2,listed,active_clinical,cf,gene_therapy,N1,therapeutic,1,1,1,NCT05248230,phase_2,reviewed,Recruiting Phase 2 AAV CFTR gene therapy.,cff_pipeline_web
cff-arct-032,ARCT-032 (LUNAR-CF),Arcturus Therapeutics,mrna,phase_2,listed,active_clinical,cf,mrna,N1,therapeutic,1,1,1,NCT06747858,phase_2,reviewed,Recruiting Phase 2 inhaled CFTR mRNA.,cff_pipeline_web
cff-rct2100,RCT2100,ReCode Therapeutics,mrna,phase_2,listed,active_clinical,cf,mrna,N1,therapeutic,1,1,1,NCT06237335,phase_2,reviewed,ACTIVE_NOT_RECRUITING Phase 2 CFTR mRNA.,cff_pipeline_web
cff-spl84,SPL84,SpliSense,aso_oligonucleotide,phase_2,listed,active_clinical,cf,aso_oligonucleotide,N1,therapeutic,1,1,1,NCT06429176,phase_2,reviewed,Recruiting Phase 2 splicing oligonucleotide.,cff_pipeline_web
cff-vx-522,VX-522 mRNA,Vertex Pharmaceuticals,mrna,phase_2,listed,active_clinical,cf,mrna,N1,therapeutic,1,1,1,NCT05668741,phase_1,reviewed,ACTIVE_NOT_RECRUITING Phase 1/2. CFF blurb used past tense; CT.gov status is still active-like so do not mark discontinued.,cff_pipeline_web
cff-eluforsen,Eluforsen (QR-010),ProQR,aso_oligonucleotide,phase_1,listed,discontinued,cf,aso_oligonucleotide,N1,therapeutic,0,0,0,,phase_1,reviewed,Historical ProQR F508del oligonucleotide. No matching active CF trial. Off the map.,cff_pipeline_web
cff-kb407,KB407,Krystal Biotech,gene_therapy,phase_1,listed,active_clinical,cf,gene_therapy,N1,therapeutic,1,1,1,NCT05504837,phase_1,reviewed,Recruiting Phase 1 inhaled gene therapy.,cff_pipeline_web
