need_id,component_id,score,rationale,source_ids,phase4_anchor,display_default,rank_default,evidence_confidence,crowding_band
N1,patient_need,4,Defined minority with severe residual CF pathophysiology: 2434 ineligible by age or genotype; 1226 ineligible adolescents/adults with data. Not a large share of the 33989 Registry but the clinical gap for those people is classic untreated-like CFTR failure.,cff_registry_adr_2024,,72,2,High,high
N1,treatment_gap,5,No approved mutation-agnostic CFTR restoration therapy. Modulators require protein production. This is the cleanest remaining causal gap.,cff_registry_adr_2024;therapies_table,,72,2,High,high
N1,competitive_whitespace,1,Reviewed map shows high industry crowding: gene therapy mRNA ASO anion-bypass and preclinical genetic listings. 13 industry investigational crowding units. Many well-resourced active programs.,clinicaltrials_gov_api_v2;cff_pipeline_web,crowding_band=high;n_industry_whitespace=13,72,2,High,high
N1,tractability,4,Biology and endpoints are clear (sweat chloride FEV1). Therapeutic precedent exists for CFTR restoration in protein-producing genotypes. Lung delivery of nucleic acids is still the hard part but several modalities are already in human studies.,clinicaltrials_gov_api_v2;cff_pipeline_web,,72,2,High,high
N1,economic,4,Lifelong severe disease with orphan-drug and modulator-era payer precedent. Addressable US count is small; do not treat 2434 as a TAM.,cff_registry_adr_2024,,72,2,High,high
N1,why_now,4,Inhaled mRNA AAV and related delivery are in active CF trials in this snapshot. Failed historical readthrough (ataluren) is a lesson not a current competitor. Alyftrek still leaves a genotype-ineligible group.,clinicaltrials_gov_api_v2;cff_pipeline_web,,72,2,High,high
N2,patient_need,2,623 people aged 12+ in 2020 with no CFTRm prescription 2022-2024. CFF notes milder sweat chloride and lower care utilization so this is not equivalent to N1.,cff_registry_adr_2024,,46,8,Moderate,moderate
N2,treatment_gap,2,Highly effective modulators are approved and widely prescribed (87.5% of ages 12+). The residual gap is access tolerability and preference not absence of a disease-modifying class.,cff_registry_adr_2024,,46,8,Moderate,moderate
N2,competitive_whitespace,2,Next-gen modulators are an industry race (Sionna plus Vertex HV studies) on top of an approved HEMT franchise. Several well-resourced programs; not empty.,clinicaltrials_gov_api_v2;cff_pipeline_web,crowding_band=moderate;n_industry_whitespace=4,46,8,Moderate,moderate
N2,tractability,4,The intervention class is proven. Remaining questions are tolerability formulation and who among the 623 actually needs a new product versus care-delivery support.,cff_registry_adr_2024;clinicaltrials_gov_api_v2,,46,8,Moderate,moderate
N2,economic,2,Mixed milder phenotype plus specialty-pharmacy friction that is hypothesized not measured in public patient-level data.,cff_registry_adr_2024,,46,8,Moderate,moderate
N2,why_now,2,Sionna and Vertex are already running the next-gen modulator programs. A new company would enter a defined incumbent race rather than a newly opened window.,clinicaltrials_gov_api_v2,,46,8,Moderate,moderate
N3,patient_need,3,IV-treated PEx 12.1% (was 35.8% in 2009). Mean FEV1 89.1% overall vs 72.8% ages 40-49. 61 lung transplants (was 249 in 2019). Residual pulmonary disease is smaller than pre-HEMT and not zero.,cff_registry_adr_2024,,62,4,Moderate,none
N3,treatment_gap,3,Airway clearance mucolytics and anti-inflammatories exist. Residual exacerbations and advanced disease on HEMT mean options are partial not absent.,cff_registry_adr_2024,,62,4,Moderate,none
N3,competitive_whitespace,3,No reviewed industry CF-specific investigational anti-inflammatory after excluding NCFB DPP1 programs. Late-stage crowding exists in the adjacent NCFB indication (brensocatib-class) which the rubric treats as a 3 not a 5.,clinicaltrials_gov_api_v2;cff_pipeline_web,crowding_band=none;n_industry_whitespace=0;adjacent=ncfb_dpp1,62,4,Moderate,none
N3,tractability,3,FEV1 and PEx endpoints exist. Residual disease after HEMT is mixed (infection structure inflammation) so a single CF-specific anti-inflammatory bet is messier than pre-modulator inflammation programs.,cff_registry_adr_2024;clinicaltrials_gov_api_v2,,62,4,Moderate,none
N3,economic,4,Chronic inhaled therapies and residual PEx treatment days (median 14 among those with at least one PEx) are costly. Still not a TAM build.,cff_registry_adr_2024,,62,4,Moderate,none
N3,why_now,3,HEMT creates a new residual-disease question. Translation from NCFB DPP1 success into CF is unproven and could close the window as easily as open it.,clinicaltrials_gov_api_v2,,62,4,Moderate,none
N4,patient_need,3,PA 23.3% of cultured (was 52.0% in 2009). NTM 11.6% of mycobacterial cultures and 18.7% among ages 60+. Fewer cultures since 2020 affect ascertainment.,cff_registry_adr_2024,,66,3,Moderate,low
N4,treatment_gap,3,Inhaled tobramycin aztreonam and azithromycin exist. Chronic PA and NTM persist. Novel modalities (phage gallium) are early.,cff_registry_adr_2024,,66,3,Moderate,low
N4,competitive_whitespace,4,Reviewed industry investigational crowding is low (BX004). Approved inhaled antibiotics occupy SoC. AP-PA02 had no matching active CF-like trial. Few novel programs aimed at persistent CF infection.,clinicaltrials_gov_api_v2;cff_pipeline_web,crowding_band=low;n_industry_whitespace=1,66,3,Moderate,low
N4,tractability,3,Infection biology is clear; biofilms NTM and phage manufacturing/regulatory paths are messy. Endpoints exist but chronic infection trials are hard.,clinicaltrials_gov_api_v2,,66,3,Moderate,low
N4,economic,4,Chronic inhaled-antibiotic use remains common among PA-positive patients (tobramycin 51.2% aztreonam 30.3% of ages >=6).,cff_registry_adr_2024,,66,3,Moderate,low
N4,why_now,3,Phage is in a recruiting CF Phase 2. The adult/older CF population has higher NTM. AMR is a general tailwind not a CF-specific proof.,clinicaltrials_gov_api_v2;cff_registry_adr_2024,,66,3,Moderate,low
N5,patient_need,4,CFRD 19.2% of the transplant-censored complications population and 29.3% of adults. CFF links CFRD to weight loss lung-function decline and increased mortality. Adult-era disease.,cff_registry_adr_2024,,77,1,Moderate,none
N5,treatment_gap,3,Insulin is guideline SoC; ~58% of people with diabetes used CGM. 16.4% of people with CFRD had no treatment noted; non-insulin therapies 8.0%. No CF-specific disease-modifying metabolic approval.,cff_registry_adr_2024,,77,1,Moderate,none
N5,competitive_whitespace,5,No reviewed industry CF-specific metabolic drug on the map. Academic SGLT2 GLP-1 metformin and related studies plus one bionic-pancreas device. Few programs aimed at a CF-specific product.,clinicaltrials_gov_api_v2;cff_pipeline_web,crowding_band=none;n_industry_whitespace=0,77,1,Moderate,none
N5,tractability,3,Glucose endpoints and CGM are measurable. Whether CFRD needs a CF-specific drug versus generic metabolic agents plus insulin is the open clinical question.,clinicaltrials_gov_api_v2;cff_registry_adr_2024,,77,1,Moderate,none
N5,economic,4,Chronic insulin and CGM imply ongoing resource use. Not a public CF-specific claims total. Do not scale adult CFRD prevalence to a TAM.,cff_registry_adr_2024,,77,1,Moderate,none
N5,why_now,4,Adult-majority Registry (61.6%). Incretin/SGLT2 era plus CGM adoption create a concrete trial window. Modulators did not make CFRD rare.,cff_registry_adr_2024;clinicaltrials_gov_api_v2,,77,1,Moderate,none
N6,patient_need,3,PERT 80.2% so pancreatic insufficiency remains common. Advanced CFLD is smaller and severe (cirrhosis 2.7%; 861 people; varices 25% among cirrhosis). Combined category mixes a solved product class with a rare severe liver problem.,cff_registry_adr_2024,,60,7,Moderate,moderate
N6,treatment_gap,3,PERT products exist. CFF recommends against routine UDCA to prevent advanced CFLD. No approved disease-modifying CFLD therapy in the MVP table. Gap is not absence of enzymes; it is residual malabsorption and liver disease.,cff_registry_adr_2024,,60,7,Moderate,moderate
N6,competitive_whitespace,3,Two industry GI candidates (ANG003 NHS7108) plus academic constipation/motility repurposing and an approved PERT class. Several programs not none.,clinicaltrials_gov_api_v2;cff_pipeline_web,crowding_band=moderate;n_industry_whitespace=2,60,7,Moderate,moderate
N6,tractability,3,Enzyme replacement is tractable. CFLD endpoints and addressable population are messy.,cff_registry_adr_2024,,60,7,Moderate,moderate
N6,economic,3,Chronic PERT and supplements. Advanced CFLD care is high-intensity but small N. No public cost build.,cff_registry_adr_2024,,60,7,Moderate,moderate
N6,why_now,3,Adult GI burden persists after modulators. New lipase candidates are in Phase 2. Not a single dramatic enabling event.,clinicaltrials_gov_api_v2,,60,7,Moderate,moderate
N7,patient_need,3,Adults 61.6%; ages 60+ n=1437; survival 65.4 years. Adult anxiety 31.9% depression 30.2% osteopenia 19.4%. Large demographic shift; burden is heterogeneous and not one CF-specific disease.,cff_registry_adr_2024,,61,6,Moderate,none
N7,treatment_gap,2,Screening and generic SoC exist for bone mental health hypertension and cancer. This may be a care-delivery and screening problem more than a missing CF drug.,cff_registry_adr_2024,,61,6,Moderate,none
N7,competitive_whitespace,5,No reviewed CF-specific therapeutic map asset. Sparse drug pipeline is a fact; empty pipeline is not by itself a company-formation argument.,clinicaltrials_gov_api_v2;cff_pipeline_web,crowding_band=none;n_industry_whitespace=0,61,6,Moderate,none
N7,tractability,2,No single CF-specific target. Cancer CVD bone and mental health are different development problems. Low for a default biotech thesis.,cff_registry_adr_2024,,61,6,Moderate,none
N7,economic,2,Aging-related care is health-system intensive. Not a quantified CF-product market in public data.,cff_registry_adr_2024,,61,6,Moderate,none
N7,why_now,4,The 2024 Registry documents the adult/older-adult shift including a new aging chapter. Demographic enablement is real even if the product thesis is not.,cff_registry_adr_2024,,61,6,Moderate,none
N8,patient_need,3,Mean 3.0 clinic visits (4.3 in 2019). Dornase 80.6% and hypertonic saline 62.6% of ages >=6. Adult-majority population still managing multi-drug regimens. Burden fell and did not disappear.,cff_registry_adr_2024,,62,4,Moderate,none
N8,treatment_gap,3,Telehealth exists (mean 0.4 visits). Pharmacist visits 60.4%. Digital adherence and adult-care capacity remain incomplete. Not an absent-drug problem.,cff_registry_adr_2024,,62,4,Moderate,none
N8,competitive_whitespace,4,Zero therapeutic map assets. 17 auto-suggested active CF-like care-delivery studies that must not be ranked as products. Few commercial CF-specific services products in the reviewed set.,clinicaltrials_gov_api_v2,crowding_band=none;n_auto_suggested_active_cf_like=17,62,4,Moderate,none
N8,tractability,3,Digital and care-coordination interventions are feasible. Endpoints (visits PRO exacerbations time-on-therapy) are messy in public Registry data.,cff_registry_adr_2024;clinicaltrials_gov_api_v2,,62,4,Moderate,none
N8,economic,2,Specialty pharmacy and visit volume are utilization proxies only. Services reimbursement in CF is mixed and not a claims-backed MVP input.,cff_registry_adr_2024,,62,4,Moderate,none
N8,why_now,3,Visit volume dropped after 2019 and the population is majority adult. Enabling change is incremental rather than a single new modality.,cff_registry_adr_2024,,62,4,Moderate,none
