therapy_id,therapy_name,generic_name,company,mechanism,target,modality,indication,development_stage,approval_status,approval_date,genotype_scope,age_scope,application_number,source_id,notes
kalydeco,Kalydeco,ivacaftor,Vertex Pharmaceuticals,CFTR potentiator,CFTR,small_molecule,Cystic fibrosis in patients with at least one ivacaftor-responsive CFTR mutation based on clinical and/or in vitro data,approved,fda_approved,2012-01,Ivacaftor-responsive CFTR mutations as listed in labeling,1 month and older,NDA 203188 / NDA 207925,fda_label_kalydeco,Initial US approval 2012 per label. Age and mutation lists have expanded by supplement.
orkambi,Orkambi,lumacaftor/ivacaftor,Vertex Pharmaceuticals,CFTR corrector plus potentiator,CFTR,small_molecule,Cystic fibrosis in patients homozygous for F508del,approved,fda_approved,2015-07-02,F508del homozygous,See current label for age,NDA 206038,cff_pipeline_web,Approval date from FDA/CFF historical reporting. Confirm age expansions on the current label before citing a pediatric cutoff.
symdeko,Symdeko,tezacaftor/ivacaftor,Vertex Pharmaceuticals,CFTR corrector plus potentiator,CFTR,small_molecule,Cystic fibrosis in patients homozygous for F508del or with at least one tezacaftor/ivacaftor-responsive mutation,approved,fda_approved,2018-02-12,F508del homozygous or responsive mutations per label,See current label for age,NDA 210491,cff_pipeline_web,Initial approval 12 Feb 2018 as commonly cited; use Drugs@FDA for supplement history in a later phase.
trikafta,Trikafta,elexacaftor/tezacaftor/ivacaftor,Vertex Pharmaceuticals,Two CFTR correctors plus potentiator,CFTR,small_molecule,Cystic fibrosis in patients with a clinical diagnosis of CF and at least one CFTR variant that is responsive based on clinical and/or in vitro data or that results in production of CFTR protein,approved,fda_approved,2019-10-21,Responsive variant or CFTR protein production per 2026 label language,2 years and older,NDA 212273,fda_label_trikafta,Indication language taken from the current Vertex USPI retrieved 2026-09-09 (label notes a March 2026 indications change).
alyftrek,Alyftrek,vanzacaftor/tezacaftor/deutivacaftor,Vertex Pharmaceuticals,Two CFTR correctors plus deuterated potentiator,CFTR,small_molecule,Cystic fibrosis in patients with a clinical diagnosis of CF and at least one CFTR variant that is responsive based on clinical and/or in vitro data or that results in production of CFTR protein,approved,fda_approved,2024-12-20,Responsive variant or CFTR protein production per label,6 years and older,NDA 218730,fda_label_alyftrek,CFF 2024 ADR states FDA approval on 20 Dec 2024. Once-daily regimen relative to Trikafta.
pulmozyme,Pulmozyme,dornase alfa,Genentech / Roche,Recombinant DNase mucus rheology,extracellular DNA,biologic_inhaled,To improve pulmonary function in CF; reduces risk of respiratory tract infections requiring parenteral antibiotics in selected patients,approved,fda_approved,1993-12-30,Mutation-agnostic,See current label,BLA 103964,cff_pipeline_web,Still widely used: CFF 2024 dornase alfa 80.6% among ages >=6.
tobi,TOBI / tobramycin inhalation,tobramycin,multiple,Inhaled aminoglycoside,Pseudomonas aeruginosa,small_molecule_inhaled,Management of CF patients with P. aeruginosa,approved,fda_approved,1997-12,Mutation-agnostic; typically PA-positive,See current label,NDA 050753,cff_pipeline_web,Includes later powder presentations. CFF 2024 inhaled tobramycin 51.2% among PA-positive ages >=6.
cayston,Cayston,aztreonam,Gilead,Inhaled monobactam,Pseudomonas aeruginosa,small_molecule_inhaled,To improve respiratory symptoms in CF patients with P. aeruginosa,approved,fda_approved,2010-02-22,Mutation-agnostic; PA-positive,See current label,NDA 050814,cff_pipeline_web,CFF 2024 inhaled aztreonam 30.3% among PA-positive ages >=6.
bronchitol,Bronchitol,mannitol,Pharmaxis / Chiesi,Osmotic airway hydrator,airway surface liquid,small_molecule_inhaled,To improve pulmonary function in adults with CF as add-on,approved,fda_approved,2020-10-30,Mutation-agnostic,Adults in the original US indication; confirm current label,NDA 202049,cff_pipeline_web,CFF pipeline lists Bronchitol as available to patients. Not as widely used as hypertonic saline in the 2024 Registry summary.
hypertonic_saline,Hypertonic saline,sodium chloride inhalation,multiple,Osmotic airway hydrator,airway surface liquid,device_plus_drug,Airway clearance adjunct in CF care,standard_of_care,not_a_single_nda,,"Mutation-agnostic",Typically ages >=6 in Registry reporting,,cff_registry_adr_2024,CFF 2024: 62.6% of ages >=6. Not a single branded NDA; included because it is standard pulmonary therapy.
pancrelipase,Pancrelipase enzyme products,pancrelipase,multiple,Pancreatic enzyme replacement,pancreatic insufficiency,oral_enzyme,Exocrine pancreatic insufficiency including CF,approved,fda_approved,,Mutation-agnostic; pancreatic insufficient,See individual product labels,multiple,cff_registry_adr_2024,CFF 2024 PERT 80.2%. Multiple approved products (Creon Zenpep Pancreaze others).
ibuprofen_high_dose,High-dose ibuprofen,ibuprofen,generic,Anti-inflammatory,airway inflammation,small_molecule,Used in selected people with CF per historical trial evidence and CFF pipeline listing as available to patients,standard_of_care,off_label_or_guideline,,"Mutation-agnostic",Selected patients,,cff_pipeline_web,Listed on the CFF pipeline as available to patients. Not a CF-specific NDA. Do not treat as a branded CF approval.
arikayce,Arikayce,amikacin liposome inhalation,Insmed,Inhaled liposomal aminoglycoside,Mycobacterium avium complex,liposomal_inhaled,MAC lung disease in adults with limited treatment options — not a CF-specific indication,approved,fda_approved_non_cf_indication,2018-09-28,Not CF-genotype directed,Adults in the MAC indication,NDA 207356,cff_pipeline_web,On the CFF anti-infective pipeline as available to patients. Indication is MAC NTM not CF. Do not count as a CF approval.
azithromycin,Azithromycin,azithromycin,generic,Immunomodulatory / antimicrobial,airway inflammation and infection,small_molecule,Chronic use in selected PA-positive people with CF,standard_of_care,not_cf_specific_nda,,"Mutation-agnostic",CFF reports among PA-positive ages >=6,,cff_registry_adr_2024,CFF 2024: 47.7% of PA-positive ages >=6 meeting historical trial-like eligibility. Not a CF-specific approval.
