program_id,asset_name,company_name,therapeutic_strategy,mechanism,modality,development_stage,genotype_scope,population_description,cff_listed_status,review_status,source_id,notes
cff-alyftrek,Alyftrek (vanzacaftor/tezacaftor/deutivacaftor),Vertex Pharmaceuticals,cftr_modulator,corrector plus potentiator,small_molecule,approved,responsive variant or CFTR protein production,People with CF ages 6+ per US label,to_patients,curated_listed_approved,cff_pipeline_web,Also in therapies table. CFF listed as available to patients.
cff-trikafta,Trikafta (elexacaftor/tezacaftor/ivacaftor),Vertex Pharmaceuticals,cftr_modulator,corrector plus potentiator,small_molecule,approved,responsive variant or CFTR protein production,People with CF ages 2+ per US label,to_patients,curated_listed_approved,cff_pipeline_web,Also in therapies table.
cff-symdeko,Symdeko (tezacaftor/ivacaftor),Vertex Pharmaceuticals,cftr_modulator,corrector plus potentiator,small_molecule,approved,F508del homozygous or responsive mutations,See label,to_patients,curated_listed_approved,cff_pipeline_web,
cff-orkambi,Orkambi (lumacaftor/ivacaftor),Vertex Pharmaceuticals,cftr_modulator,corrector plus potentiator,small_molecule,approved,F508del homozygous,See label,to_patients,curated_listed_approved,cff_pipeline_web,
cff-kalydeco,Kalydeco (ivacaftor),Vertex Pharmaceuticals,cftr_modulator,potentiator,small_molecule,approved,ivacaftor-responsive mutations,See label,to_patients,curated_listed_approved,cff_pipeline_web,
cff-4d-710,4D-710,4D Molecular Therapeutics,gene_therapy,AAV CFTR gene delivery to lung,gene_therapy,phase_2,mutation-agnostic intent,People with CF including those not served by modulators,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Two at retrieval. Confirm active status in Phase 4.
cff-arct-032,ARCT-032 (LUNAR-CF),Arcturus Therapeutics,mrna,inhaled CFTR mRNA,mrna,phase_2,mutation-agnostic including nonsense,People with CF including nonsense and rare mutations,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Two at retrieval.
cff-rct2100,RCT2100,ReCode Therapeutics,mrna,inhaled CFTR mRNA via LNP,mrna,phase_2,mutation-agnostic including nonsense,People with CF including nonsense and rare mutations,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Two at retrieval.
cff-spl84,SPL84,SpliSense,aso_oligonucleotide,splicing oligonucleotide,oligonucleotide,phase_2,splicing mutations,People with CFTR splicing mutations,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Two at retrieval.
cff-vx-522,VX-522 mRNA,Vertex Pharmaceuticals,mrna,inhaled CFTR mRNA via LNP,mrna,phase_2,mutation-agnostic including nonsense,People with CF including those not responding to modulators,listed,unreviewed,cff_pipeline_web,CFF description used past tense (studied). Status must be reviewed before treating as active.
cff-eluforsen,Eluforsen (QR-010),ProQR,aso_oligonucleotide,RNA repair oligonucleotide,oligonucleotide,phase_1,F508del,People with one or two F508del alleles,listed,unreviewed,cff_pipeline_web,May be discontinued. Do not treat as active without review.
cff-kb407,KB407,Krystal Biotech,gene_therapy,inhaled viral-vector CFTR gene delivery,gene_therapy,phase_1,mutation-agnostic intent,People with CF regardless of mutation,listed,unreviewed,cff_pipeline_web,CFF page listed Phase One at retrieval.
cff-mrt5005,MRT5005,Translate Bio / Sanofi,mrna,inhaled CFTR mRNA,mrna,phase_1,mutation-agnostic,People with CF regardless of mutation,listed,unreviewed,cff_pipeline_web,Likely discontinued historically. Requires review.
cff-sp-101,SP-101,Spirovant Sciences,gene_therapy,inhaled AAV CFTR gene delivery,gene_therapy,phase_1,mutation-agnostic intent,People with CF regardless of mutation,listed,unreviewed,cff_pipeline_web,CFF page listed Phase One at retrieval.
cff-gensaic,Gensaic,Gensaic,gene_therapy,phage-derived gene delivery vehicle,gene_therapy,preclinical,mutation-agnostic intent,Lung-directed CFTR gene delivery research,listed,unreviewed,cff_pipeline_web,Preclinical. Not in ClinicalTrials.gov by definition.
cff-nanite,Nanite,Nanite,mrna,polymer nanoparticle delivery,nanoparticle,preclinical,mutation-agnostic intent,Delivery vehicle research for mRNA then possibly editing,listed,unreviewed,cff_pipeline_web,Preclinical.
cff-prime-medicine,Prime Medicine,Prime Medicine,gene_editing,prime editing including G542X hotspot and PASSIGE insertion,gene_editing,preclinical,mutation-specific and mutation-agnostic tracks,Nonsense and potentially broad CFTR correction,listed,unreviewed,cff_pipeline_web,CFF 2025 annual report also mentions funding. Preclinical.
cff-vianautis,ViaNautis Bio,ViaNautis Bio,genetic_therapy,polyNaut non-viral delivery,nanoparticle,preclinical,mutation-agnostic intent,Lung delivery of large genetic payloads,listed,unreviewed,cff_pipeline_web,Preclinical.
cff-carbon-biosciences,Carbon Biosciences,Carbon Biosciences,gene_therapy,lung-directed CFTR gene delivery,gene_therapy,preclinical,mutation-agnostic intent,,listed,unreviewed,cff_pipeline_web,CFF description used past tense. Requires review.
cff-carmine,Carmine Therapeutics,Carmine Therapeutics,gene_therapy,extracellular vesicle gene delivery,gene_therapy,preclinical,mutation-agnostic intent,,listed,unreviewed,cff_pipeline_web,CFF description used past tense. Requires review.
cff-pioneering-medicines,Pioneering Medicines,Pioneering Medicines,gene_editing,collaboration on genetic medicines,genetic_therapy,preclinical,broad mutation coverage intent,,listed,unreviewed,cff_pipeline_web,CFF description used past tense. Requires review.
cff-recode-intellia,ReCode Therapeutics / Intellia Therapeutics,ReCode Therapeutics / Intellia Therapeutics,gene_editing,LNP lung-stem-cell delivery plus gene editing for a nonsense mutation,gene_editing,preclinical,specific nonsense mutation,Lung stem cell targeted editing research,listed,unreviewed,cff_pipeline_web,CFF description used past tense. Requires review.
cff-saliogen,SalioGen Therapeutics,SalioGen Therapeutics,gene_editing,Gene Coding insertion of healthy CFTR DNA,gene_editing,preclinical,mutation-agnostic intent,,listed,unreviewed,cff_pipeline_web,CFF description used past tense. Requires review.
cff-ataluren,Ataluren,PTC Therapeutics,nonsense_readthrough,readthrough of premature stop codons,small_molecule,phase_3,nonsense mutations,People with nonsense CFTR mutations,listed,unreviewed,cff_pipeline_web,Historically failed CF development. Must be marked discontinued after review; listed Phase Three on the CFF page snapshot.
cff-elx-02,ELX-02,Eloxx Pharmaceuticals,nonsense_readthrough,readthrough of premature stop,small_molecule,phase_2,nonsense mutations,People with nonsense CFTR mutations,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Two. Confirm whether still active.
cff-sion-719,SION-719,Sionna Therapeutics,cftr_modulator,NBD1 stabilizer corrector,small_molecule,phase_2,CFTR protein-producing genotypes,Next-generation modulator approach,listed,unreviewed,cff_pipeline_web,CFF page listed Phase Two at retrieval.
cff-sion-109,SION-109,Sionna Therapeutics,cftr_modulator,ICL4 corrector,small_molecule,phase_1,CFTR protein-producing genotypes,,listed,unreviewed,cff_pipeline_web,CFF page listed Phase One at retrieval.
cff-sion-2222,SION-2222,Sionna Therapeutics,cftr_modulator,corrector formerly ABBV-2222/GLPG2222,small_molecule,phase_1,CFTR protein-producing genotypes,,listed,unreviewed,cff_pipeline_web,Former AbbVie/Galapagos asset. Confirm current sponsor and status.
cff-sion-451,SION-451,Sionna Therapeutics,cftr_modulator,NBD1 stabilizer corrector,small_molecule,phase_1,CFTR protein-producing genotypes,,listed,unreviewed,cff_pipeline_web,
cff-sion-638,SION-638,Sionna Therapeutics,cftr_modulator,NBD1 stabilizer corrector,small_molecule,phase_1,CFTR protein-producing genotypes,,listed,unreviewed,cff_pipeline_web,
cff-vx-828,VX-828,Vertex Pharmaceuticals,cftr_modulator,corrector studied with tezacaftor and deutivacaftor,small_molecule,phase_1,CFTR protein-producing genotypes,,listed,unreviewed,cff_pipeline_web,CFF page listed Phase One at retrieval.
