source_id,organization,title,url,publication_date,retrieval_date,source_type,access_method,description,notes
cff_registry_adr_2024,Cystic Fibrosis Foundation,Cystic Fibrosis Foundation Patient Registry 2024 Annual Data Report,https://www.cff.org/media/38406/download,2025-10,2026-09-09,registry_report,manual,US CF Foundation Patient Registry aggregate statistics for people with CF seen at accredited care centers in 2024 who consented to Registry participation.,"Patient-level Registry data are not public. Many complication chapters exclude lung-transplant recipients. 2024 modulator-eligibility charts generally do not treat Alyftrek (approved 20 Dec 2024) as conferring eligibility unless the text says otherwise."
cff_patient_registry_page,Cystic Fibrosis Foundation,Patient Registry landing page,https://www.cff.org/medical-professionals/patient-registry,2026-09-09,2026-09-09,web_page,manual,Public landing page hosting the Annual Data Report and Highlights PDFs.,Used to confirm the 2024 report is the current public aggregate source.
cff_pipeline_web,Cystic Fibrosis Foundation,Drug Development Pipeline,https://www.cff.org/Trials/Pipeline,2026-09-09,2026-09-09,pipeline_web,manual,CFF-classified CF drug development programs including preclinical assets and programs listed as available to patients.,"Not an API. The public page can include discontinued programs. Stage labels can lag company updates. Phase 4 will separate active vs discontinued after review."
clinicaltrials_gov_api_v2,U.S. National Library of Medicine,ClinicalTrials.gov Data API v2,https://clinicaltrials.gov/api/v2/studies,2026-09-09,2026-09-09,clinical_trials_api,programmatic,Public JSON API for registered clinical studies. MVP query is condition cystic fibrosis and interventional study type.,"No API key. Sponsor-reported. Misses most preclinical work. filter.studyType is not a valid parameter; use filter.advanced=AREA[StudyType]INTERVENTIONAL."
clinicaltrials_gov_api_docs,U.S. National Library of Medicine,ClinicalTrials.gov Data API documentation,https://clinicaltrials.gov/data-api/api,2026-09-09,2026-09-09,documentation,manual,Official documentation for the v2 studies endpoint and query parameters.,Used to verify the API before ingest.
fda_label_trikafta,U.S. Food and Drug Administration / Vertex,TRIKAFTA prescribing information,https://pi.vrtx.com/files/uspi_elexacaftor_tezacaftor_ivacaftor.pdf,2026-03,2026-09-09,fda_label,manual,US prescribing information for elexacaftor/tezacaftor/ivacaftor.,Initial US approval 2019. Indication language retrieved from the current label.
fda_label_kalydeco,U.S. Food and Drug Administration,KALYDECO prescribing information,https://www.accessdata.fda.gov/drugsatfda_docs/label/2025/203188s042%2C207925s020lbl.pdf,2025-09,2026-09-09,fda_label,manual,US prescribing information for ivacaftor.,Initial US approval 2012.
fda_label_alyftrek,U.S. Food and Drug Administration,ALYFTREK prescribing information,https://www.accessdata.fda.gov/drugsatfda_docs/label/2026/218730s001lbl.pdf,2026,2026-09-09,fda_label,manual,US prescribing information for vanzacaftor/tezacaftor/deutivacaftor.,Initial US approval 2024. CFF reports FDA approval on 20 Dec 2024.
openfda_drugsfda,U.S. Food and Drug Administration,openFDA Drugs@FDA API,https://api.fda.gov/drug/drugsfda.json,2026-09-09,2026-09-09,regulatory_api,programmatic,Programmatic access to Drugs@FDA application and product records.,Reserved for later phases. Approval dates in MVP therapies table are taken from labels and CFF reporting unless noted.
fda_oopd,U.S. Food and Drug Administration,Search Orphan Drug Designations and Approvals,https://www.accessdata.fda.gov/scripts/opdlisting/oopd/,2026-09-09,2026-09-09,regulatory_database,manual,FDA orphan drug designation search with Excel download. No public API.,Designation is not proof of active development. Not ingested in Phase 2.
cftr2,CFTR2 / Johns Hopkins,CFTR2 variant resource,https://cftr2.org/,2026-09-09,2026-09-09,variant_database,manual,Public variant-level CFTR information including CF-causing classification and selected clinical correlates.,No public API. Frequencies are not a substitute for CFF US prevalence.
pubmed_eutils,NCBI,PubMed E-utilities,https://www.ncbi.nlm.nih.gov/books/NBK25501/,2026-09-09,2026-09-09,literature_api,programmatic,Programmatic PubMed search and fetch.,Not used in Phase 2 ingest. Intended for later evidence packs.
