asset_id,asset_name,company_name,source,strategy,need_ids,role,stage,activity_status,sponsor_class,nct_ids,map_eligible,whitespace_relevant,crowding_unit,review_status,review_notes
trial:NCT05802264,ABCI (amphotericin B cystetic for inhalation),Cystetic Medicines,clinicaltrials,anion_bypass,N1,therapeutic,phase_1,active_clinical,INDUSTRY,NCT05802264,1,1,1,reviewed,CFTR-independent anion ionophore. Healthy volunteers and people with CF.
trial:NCT03925194,Anakinra,Heidelberg University,clinicaltrials,anti_inflammatory,N3,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT03925194,1,1,1,reviewed,Academic Phase 2 IL-1 blockade in CF. Investigator-initiated; not a CF-specific newco listing.
trial:NCT06364176,Losartan as adjunct to modulators,University of Kansas Medical Center,clinicaltrials,anti_inflammatory,N3,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT06364176,1,1,1,reviewed,Academic Phase 2 anti-inflammatory adjunct.
cff-high-dose-ibuprofen,High-dose ibuprofen,generic,cff_pipeline,anti_inflammatory,N3,therapeutic,standard_of_care,standard_of_care,SOC_OR_GENERIC,,1,0,0,reviewed,Generic SoC for selected patients. Not whitespace.
cff-cayston,Cayston (aztreonam),Gilead,cff_pipeline,antimicrobial,N4,therapeutic,approved,approved,INDUSTRY,,1,0,0,reviewed,Approved inhaled aztreonam. Crowding counted on tobramycin as class representative.
cff-tobi-podhaler,TOBI Podhaler,Novartis / later holders,cff_pipeline,antimicrobial,N4,therapeutic,approved,approved,INDUSTRY,,1,0,0,reviewed,Dry-powder tobramycin. Crowding counted on inhaled tobramycin class.
cff-tobramycin,Inhaled tobramycin,multiple,cff_pipeline,antimicrobial,N4,therapeutic,approved,approved,SOC_OR_GENERIC,,1,0,1,reviewed,Approved inhaled antipseudomonal. Class representative for approved inhaled antibiotics.
cff-iv-gallium,Intravenous gallium,,cff_pipeline,antimicrobial,N4,therapeutic,phase_1,active_clinical,SOC_OR_GENERIC,NCT04294043,1,1,1,reviewed,Recruiting IV gallium for CF-NTM (ABATE).
trial:NCT07485010,Intensive-phase NTM combination including bedaquiline,The University of Queensland,clinicaltrials,antimicrobial,N4,therapeutic,phase_2,active_clinical,ACADEMIC_OR_OTHER,NCT07485010,1,0,0,reviewed,NTM regimen comparison that includes people with CF. Not a CF-specific new asset; map_eligible for coverage of N4 activity but crowding_unit 0 and not whitespace.
cff-azithromycin,Azithromycin,generic,cff_pipeline,antimicrobial,N4,therapeutic,standard_of_care,standard_of_care,SOC_OR_GENERIC,,1,0,0,reviewed,Widely used macrolide. Not a new product.
cff-spl84,SPL84,SpliSense,cff_pipeline,aso_oligonucleotide,N1,therapeutic,phase_2,active_clinical,INDUSTRY,NCT06429176,1,1,1,reviewed,Recruiting Phase 2 splicing oligonucleotide.
cff-alyftrek,Alyftrek (vanzacaftor/tezacaftor/deutivacaftor),Vertex Pharmaceuticals,cff_pipeline,cftr_modulator,N2,label_expansion,approved,approved,INDUSTRY,NCT05422222;NCT05444257;NCT05844449,1,0,1,reviewed,US-approved VTD. Pediatric/LTE trials are label expansion not whitespace.
cff-kalydeco,Kalydeco (ivacaftor),Vertex Pharmaceuticals,cff_pipeline,cftr_modulator,N2,label_expansion,approved,approved,INDUSTRY,,1,0,0,reviewed,Approved potentiator. Crowding_unit 0; still map-visible as approved.
cff-orkambi,Orkambi (lumacaftor/ivacaftor),Vertex Pharmaceuticals,cff_pipeline,cftr_modulator,N2,label_expansion,approved,approved,INDUSTRY,,1,0,0,reviewed,Approved earlier-generation modulator. Crowding_unit 0 to avoid five-count of one Vertex franchise.
cff-symdeko,Symdeko (tezacaftor/ivacaftor),Vertex Pharmaceuticals,cff_pipeline,cftr_modulator,N2,label_expansion,approved,approved,INDUSTRY,,1,0,0,reviewed,Approved earlier-generation modulator. Crowding counted on Trikafta/Alyftrek as the current HEMT franchise.
