program_id,activity_status,disease_area,strategy,need_ids,role,map_eligible,whitespace_relevant,crowding_unit,nct_ids,map_stage,review_status,review_notes
cff-alyftrek,approved,cf,cftr_modulator,N2,label_expansion,1,0,1,NCT05422222;NCT05444257;NCT05844449,approved,reviewed,US-approved VTD. Pediatric/LTE trials are label expansion not whitespace.
cff-trikafta,approved,cf,cftr_modulator,N2,label_expansion,1,0,1,NCT05331183;NCT06460506;NCT04602468;NCT07809867,approved,reviewed,US-approved ETI. Remaining trials are pediatric OLE or real-world/PK.
cff-symdeko,approved,cf,cftr_modulator,N2,label_expansion,1,0,0,,approved,reviewed,Approved earlier-generation modulator. Crowding counted on Trikafta/Alyftrek as the current HEMT franchise.
cff-orkambi,approved,cf,cftr_modulator,N2,label_expansion,1,0,0,,approved,reviewed,Approved earlier-generation modulator. Crowding_unit 0 to avoid five-count of one Vertex franchise.
cff-kalydeco,approved,cf,cftr_modulator,N2,label_expansion,1,0,0,,approved,reviewed,Approved potentiator. Crowding_unit 0; still map-visible as approved.
cff-4d-710,active_clinical,cf,gene_therapy,N1,therapeutic,1,1,1,NCT05248230,phase_2,reviewed,Recruiting Phase 2 AAV CFTR gene therapy.
cff-arct-032,active_clinical,cf,mrna,N1,therapeutic,1,1,1,NCT06747858,phase_2,reviewed,Recruiting Phase 2 inhaled CFTR mRNA.
cff-rct2100,active_clinical,cf,mrna,N1,therapeutic,1,1,1,NCT06237335,phase_2,reviewed,ACTIVE_NOT_RECRUITING Phase 2 CFTR mRNA.
cff-spl84,active_clinical,cf,aso_oligonucleotide,N1,therapeutic,1,1,1,NCT06429176,phase_2,reviewed,Recruiting Phase 2 splicing oligonucleotide.
cff-vx-522,active_clinical,cf,mrna,N1,therapeutic,1,1,1,NCT05668741,phase_1,reviewed,ACTIVE_NOT_RECRUITING Phase 1/2. CFF blurb used past tense; CT.gov status is still active-like so do not mark discontinued.
cff-eluforsen,discontinued,cf,aso_oligonucleotide,N1,therapeutic,0,0,0,,phase_1,reviewed,Historical ProQR F508del oligonucleotide. No matching active CF trial. Off the map.
